num_acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;annee;id_vehicule;secu1;secu2;secu3
2,005E+11;8;2;4;2;0;11;0;0;0;1985;B02;2005;NA;NA;NA;NA
2,005E+11;4;2;4;2;0;11;0;0;0;1986;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;2;1;5;13;0;0;0;1980;A01;2005;NA;NA;NA;NA
2,005E+11;2;2;2;1;0;13;0;0;0;1942;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;4;11;0;0;0;1958;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;1;13;0;0;0;1970;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;5;0;0;0;0;1947;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1966;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1969;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;3;2;5;11;0;0;0;1971;C03;2005;NA;NA;NA;NA
2,005E+11;2;2;4;2;0;11;0;0;0;1972;C03;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;5;11;0;0;0;1982;D04;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1971;E05;2005;NA;NA;NA;NA
2,005E+11;3;2;4;2;0;11;0;0;0;1978;E05;2005;NA;NA;NA;NA
2,005E+11;1;1;2;1;2;11;0;0;0;1984;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;2;9;11;0;0;0;1964;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1983;A01;2005;NA;NA;NA;NA
2,005E+11;4;2;4;1;0;11;0;0;0;1988;A01;2005;NA;NA;NA;NA
2,005E+11;5;2;4;2;0;12;0;0;0;1985;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1937;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;1;5;0;0;0;0;1985;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;1;11;0;0;0;1979;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;9;11;0;0;0;1972;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;2;3;13;0;0;0;1933;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;9;90;0;0;0;1970;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;5;11;0;0;0;1963;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;2;1;21;0;0;0;1959;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;1;1;0;11;0;0;0;1980;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;4;1;1;21;0;0;0;1987;B02;2005;NA;NA;NA;NA
2,005E+11;1;1;2;1;5;11;0;0;0;1972;A01;2005;NA;NA;NA;NA
2,005E+11;1;1;3;2;5;11;0;0;0;1939;A01;2005;NA;NA;NA;NA
